,corrected_question,sparql_query,answer,entity,wiki_answer
83,Who is the film star of On Air with Ryan Seacrest ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/On_Air_with_Ryan_Seacrest> <http://dbpedia.org/ontology/starring> ?uri } ,"['http://dbpedia.org/resource/Ryan_Seacrest', 'http://dbpedia.org/resource/Patty_Rodriguez', 'http://dbpedia.org/resource/Manny_Guevara']",Ryan Seacrest,Selena Gomez
91,Who gives the license of WXXV-DT2 ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WXXV-DT2> <http://dbpedia.org/property/licensee> ?uri } ,[],WXXV-DT2,Gulf Coast Television Ltd
96,Who is the builder of Estadio Nacional de Costa Rica (2011) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Estadio_Nacional_de_Costa_Rica_(2011)> <http://dbpedia.org/ontology/builder> ?uri } ,[],Estadio Nacional de Costa Rica (2011),UCR
99,Where is the swedish covenant hospital?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Swedish_Covenant_Hospital> <http://dbpedia.org/ontology/location> ?uri } ,[],NotFound,"Sorry, answer not found!"
108,List the institute of Robert hall ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robert_Hall_(economist)> <http://dbpedia.org/ontology/institution> ?uri } ,['http://dbpedia.org/resource/Stanford_University'],Robert,San Fransokyo Institute of Technology
111,Where is Emmett Hughes from?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Emmett_Hughes> <http://dbpedia.org/ontology/nationality> ?uri  . },[],Emmett Hughes,"Sorry, answer not found!"
119,Name the series of Doctor Who: Evacuation Earth ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Doctor_Who:_Evacuation_Earth> <http://dbpedia.org/ontology/series> ?uri } ,['http://dbpedia.org/resource/Doctor_Who'],Earth,Gaia Principle
126,Name the broadcast area of  Radio Philippines Network ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Radio_Philippines_Network> <http://dbpedia.org/property/area> ?uri } ,['http://dbpedia.org/resource/Philippines'],Radio Philippines Network,"People's Television Network
Philippine Broadcasting Service"
134,Which nation hosts the WTA Tour Championships?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WTA_Tour_Championships> <http://dbpedia.org/property/country> ?uri } ,[],WTA Tour Championships,Toyota
137,What are the awrds won by Laemmle Theatres ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Laemmle_Theatres> <http://dbpedia.org/ontology/service> ?uri } ,"['http://dbpedia.org/resource/Movie_theater', 'http://dbpedia.org/resource/Academy_Award']",Laemmle Theatres,Secret Path to Oscar Qualifying
143,Which driver came first in the 1993 European Grand Prix ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1993_European_Grand_Prix> <http://dbpedia.org/property/firstDriver> ?uri } ,['http://dbpedia.org/resource/Ayrton_Senna'],SpacyError,"Sorry, answer not found!"
147,In which country is the Duong river?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Đuống_River> <http://dbpedia.org/ontology/sourceCountry> ?uri  . },[],Duong river,"Sorry, answer not found!"
151,The official residence of Sukhumbhand paribatra ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sukhumbhand_Paribatra> <http://dbpedia.org/property/residence> ?uri } ,['http://dbpedia.org/resource/Bangkok'],Sukhumbhand paribatra,"Sorry, answer not found!"
153,What is operated by FedExField ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/FedExField> <http://dbpedia.org/ontology/operator> ?uri } ,['http://dbpedia.org/resource/Washington_Football_Team'],FedExField,Robert F. Kennedy Memorial Stadium
165,"Whose album is Haiti, I am sorry?", SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Haiti_I_Am_Sorry> <http://dbpedia.org/ontology/album> ?uri } ,['http://dbpedia.org/resource/Haiti'],Haiti,Jean-Jacques Dessalines
173,What awards did Jos Rivera (playwright) win?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/José_Rivera_(playwright)> <http://dbpedia.org/property/awards> ?uri } ,"['http://dbpedia.org/resource/Goya_Awards', 'http://dbpedia.org/resource/Obie_Award', 'http://dbpedia.org/resource/Academy_Awards']",playwright,List
180,Name the regions served by Toll Global Express ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Toll_Global_Express> <http://dbpedia.org/ontology/regionServed> ?uri } ,[],Toll Global Express,Tasmania
206,Where is Ethiopian Parliament Building located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ethiopian_Parliament_Building> <http://dbpedia.org/property/locationCountry> ?uri } ,['http://dbpedia.org/resource/Ethiopia'],Ethiopian Parliament,Ethiopia
210,Who are the biological parents of Dannielynn Birkhead?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dannielynn_Birkhead> <http://dbpedia.org/ontology/parent> ?uri } ,"['http://dbpedia.org/resource/Anna_Nicole_Smith', 'http://dbpedia.org/resource/Larry_Birkhead']",Dannielynn,Anna Nicole Smith
220,Who built the Ford Y-block engine ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ford_Y-block_engine> <http://dbpedia.org/ontology/manufacturer> ?uri } ,['http://dbpedia.org/resource/Ford_Motor_Company'],SpacyError,"Sorry, answer not found!"
223,What is the region of Lumberjack  ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lumberjack_100> <http://dbpedia.org/property/region> ?uri } ,"['http://dbpedia.org/resource/Norman_Township,_Michigan', 'http://dbpedia.org/resource/Michigan']",Lumberjack  ?,"Sorry, answer not found!"
229,What is the governing body of Burro Flats Painted Cave ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Burro_Flats_Painted_Cave> <http://dbpedia.org/ontology/governingBody> ?uri } ,['http://dbpedia.org/resource/Boeing'],Painted Cave,command center
237,List the ceremonial county of East Tilbury ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/East_Tilbury> <http://dbpedia.org/ontology/ceremonialCounty> ?uri } ,['http://dbpedia.org/resource/Essex'],East Tilbury,External links
245,Name the current club of Abdelhameed Amarri ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Abdelhameed_Amarri> <http://dbpedia.org/property/currentclub> ?uri } ,[],Abdelhameed Amarri,"Sorry, answer not found!"
251,Where is the stadium of Philadelphia Rage ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Philadelphia_Rage> <http://dbpedia.org/ontology/stadium> ?uri } ,['http://dbpedia.org/resource/Philadelphia'],Philadelphia Rage,East
256,Who is the headcoach of 2014-15 Virginia Tech Hokies men's basketball team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2014–15_Virginia_Tech_Hokies_men's_basketball_team> <http://dbpedia.org/property/headcoach> ?uri } ,[],basketball,Dwight Howard
263,Name all the junctions of U.S. Route 59?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/U.S._Route_59> <http://dbpedia.org/property/junction> ?uri } ,"['', 'at Houston, TX', 'at Laredo, TX', 'at Lawrence, KS', 'at Ottawa, KS', 'at Sallisaw, OK', 'at Worthington, MN', 'near Avoca, IA', 'near Fergus Falls, MN', 'near Marshall, TX', 'near Texarkana, TX']",U.S. Route,United States Numbered Bicycle Routes
270,What is Bob Adams (American football) known for?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bob_Adams_(American_football)> <http://dbpedia.org/property/knownFor> ?uri } ,"['http://dbpedia.org/resource/National_Football_League', 'http://dbpedia.org/resource/Tight_end', 'Scientology official']",SpacyError,"Sorry, answer not found!"
292,Who is the employer of Michael M. Sears ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_M._Sears> <http://dbpedia.org/property/employer> ?uri } ,"['http://dbpedia.org/resource/Boeing', 'http://dbpedia.org/resource/McDonnell_Aircraft_Corporation']",Sears,Robert E. Wood with Montgomery Ward
293,List things developed by Autoconf ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Autoconf> <http://dbpedia.org/ontology/developer> ?uri } ,['http://dbpedia.org/resource/GNU'],Autoconf,Detecting package dependencies
303,Where is the arena of WPC Dynamo Moscow situated?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WPC_Dynamo_Moscow> <http://dbpedia.org/property/arena> ?uri } ,"['http://dbpedia.org/resource/Swimming_Pool_at_the_Olimpiysky_Sports_Complex', 'http://dbpedia.org/resource/Moscow']",Moscow,Moscow
314,Who is the builder of Atamurat-Kerkichi Bridge ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Atamurat-Kerkichi_Bridge> <http://dbpedia.org/property/builder> ?uri } ,[],Atamurat-Kerkichi Bridge,Ukrtransstroi
315,name the mountain range of Le Gibloux ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Le_Gibloux> <http://dbpedia.org/ontology/mountainRange> ?uri } ,['http://dbpedia.org/resource/Swiss_Prealps'],Gibloux,"Sorry, answer not found!"
319,Who is the associate of Thomas Bryan Martin ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Thomas_Bryan_Martin> <http://dbpedia.org/ontology/associate> ?uri } ,[],Martin,Martin Hoberg Hedegaard
320,In what wars was Steve Buyer involved?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Steve_Buyer> <http://dbpedia.org/ontology/battle> ?uri } ,[],Steve Buyer,the Army
339,Who owns Ivanpah Solar Power Facility?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ivanpah_Solar_Power_Facility> <http://dbpedia.org/ontology/owner> ?uri } ,"['http://dbpedia.org/resource/Google', 'http://dbpedia.org/resource/BrightSource_Energy', 'http://dbpedia.org/resource/NRG_Energy']",Ivanpah,McCarran International Airport (LAS)
346,What is the official name of Arkansas wine ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Arkansas_wine> <http://dbpedia.org/property/officialName> ?uri } ,['http://dbpedia.org/resource/Arkansas'],wine,wine drinkers
353,what cities are located on the sides of mediterranean sea?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mediterranean_Sea> <http://dbpedia.org/property/cities> ?uri } ,"['Alexandria, Barcelona, Algiers, Izmir, Rome, Athens, Beirut, Tripoli, Tunis, Tangier, Tel Aviv-Jaffa, Split,']",mediterranean sea,eastern half
361,Name the alma mater of Michael hahn ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Hahn> <http://dbpedia.org/ontology/almaMater> ?uri } ,['http://dbpedia.org/resource/Tulane_University'],Michael hahn,"Sorry, answer not found!"
363,List the governers of Jimmie Lou Fisher?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jimmie_Lou_Fisher> <http://dbpedia.org/property/governor> ?uri } ,"['http://dbpedia.org/resource/Jim_Guy_Tucker', 'http://dbpedia.org/resource/Bill_Clinton', 'http://dbpedia.org/resource/Mike_Huckabee', 'http://dbpedia.org/resource/Frank_D._White']",Jimmie Lou Fisher,2002 General Election
365,Who discovered Callisto ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Callisto_(moon)> <http://dbpedia.org/ontology/discoverer> ?uri } ,['http://dbpedia.org/resource/Galileo_Galilei'],Callisto,Callisto Corporation
366,which politician is currently ruling over Rishkiesh?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rishikesh> <http://dbpedia.org/ontology/leaderName> ?uri } ,[],NotFound,"Sorry, answer not found!"
367,Where is Carmel Winery?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Carmel_Winery> <http://dbpedia.org/property/locationCountry> ?uri } ,['http://dbpedia.org/resource/Israel'],Carmel Winery,Israel
369,Name the architect of Marine Corps Air Station Kaneohe Bay ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Marine_Corps_Air_Station_Kaneohe_Bay> <http://dbpedia.org/property/architect> ?uri } ,[],Air Station,"Sorry, answer not found!"
380,Name the monarch of L Buwei ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lü_Buwei> <http://dbpedia.org/ontology/monarch> ?uri } ,[],NotFound,"Sorry, answer not found!"
382,What is the stylistic origin of Wizard rock ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wizard_rock> <http://dbpedia.org/ontology/stylisticOrigin> ?uri } ,"['http://dbpedia.org/resource/Harry_Potter', 'http://dbpedia.org/resource/Emo', 'http://dbpedia.org/resource/Geek_rock']",Wizard rock,Harry Potter universe
400,Who is the successor of McDonnell Douglas ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/McDonnell_Douglas> <http://dbpedia.org/property/successor> ?uri } ,['http://dbpedia.org/resource/Boeing'],McDonnell Douglas,"Sanford N. McDonnell
Harry Stonecipher"
401,What is the publisher of Lucifer's Hammer ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lucifer's_Hammer> <http://dbpedia.org/ontology/publisher> ?uri } ,['http://dbpedia.org/resource/Del_Rey_Books'],Lucifer,Cicero
416,Where was Antonio Giannini born?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Antonio_Giannini> <http://dbpedia.org/ontology/birthPlace> ?uri } ,['http://dbpedia.org/resource/VEN'],Giannini,Italian
440,What is the mascot of Blytheville High School ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Blytheville_High_School> <http://dbpedia.org/property/mascot> ?uri } ,['http://dbpedia.org/resource/Chickasaw'],Blytheville High School,white
444,Who wrote Catch My soul ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Catch_My_Soul_(UK_stage_version)> <http://dbpedia.org/ontology/author> ?uri } ,[],Catch My soul,"Sorry, answer not found!"
449,Who are the cast members of The Simpsons Ride?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Simpsons_Ride> <http://dbpedia.org/property/starring> ?uri } ,"['http://dbpedia.org/resource/Kelsey_Grammer', 'http://dbpedia.org/resource/Hank_Azaria', 'http://dbpedia.org/resource/Dan_Castellaneta', 'http://dbpedia.org/resource/Nancy_Cartwright', 'http://dbpedia.org/resource/Julie_Kavner', 'http://dbpedia.org/resource/Yeardley_Smith']",Simpsons,Bart and Lisa
456,Who is the animator of Tommy Tucker's Tooth ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tommy_Tucker's_Tooth> <http://dbpedia.org/property/animator> ?uri } ,['http://dbpedia.org/resource/Walt_Disney'],Tommy Tucker,Thomas Tudor Tucker
457,Who is the film director of Alice's Wonderland ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alice's_Wonderland> <http://dbpedia.org/ontology/director> ?uri } ,['http://dbpedia.org/resource/Walt_Disney'],Wonderland,"Winterland (disambiguation)
Wonderworld"
464,Who is the writer of The Sandman (Vertigo) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Sandman_(Vertigo)> <http://dbpedia.org/property/writers> ?uri } ,[],The Sandman (Vertigo),Neil Gaiman
467,List the primary  subjects of A Christian Turn'd Turk?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/A_Christian_Turn'd_Turk> <http://dbpedia.org/property/subject> ?uri } ,"['http://dbpedia.org/resource/Protestantism', 'http://dbpedia.org/resource/Piracy', 'http://dbpedia.org/resource/Islam', 'http://dbpedia.org/resource/Religious_conversion']",A Christian Turn'd Turk,English Theater and the Multicultural Mediterranean
474,Name the tiemzone of Banlung ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Banlung> <http://dbpedia.org/ontology/timeZone> ?uri } ,['http://dbpedia.org/resource/Indochina_Time'],Banlung,sangkats
485,What is the allegiance of Albert Kwesi Ocran ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Albert_Kwesi_Ocran> <http://dbpedia.org/property/allegiance> ?uri } ,['http://dbpedia.org/resource/Ghana'],Albert Kwesi Ocran,External links
489,Who was the bronze medalist of Swimming at the 2008 Summer Olympics  Men's 400 metre individual medley ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Swimming_at_the_2008_Summer_Olympics_–_Men's_400_metre_individual_medley> <http://dbpedia.org/ontology/bronzeMedalist> ?uri } ,['http://dbpedia.org/resource/Ryan_Lochte'],individual medley,Medley Relay
493,Name the debut team of Butch Metzger ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Butch_Metzger> <http://dbpedia.org/ontology/debutTeam> ?uri } ,['http://dbpedia.org/resource/San_Francisco_Giants'],Butch Metzger,New York Mets
504,Who is the governor of Carl McCall ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Carl_McCall> <http://dbpedia.org/ontology/governor> ?uri } ,[],Carl McCall,Mario Cuomo
511,From what american football teams did Carlos Emmons play?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Carlos_Emmons_(American_football)> <http://dbpedia.org/ontology/formerTeam> ?uri } ,[],Carlos Emmons,"Sorry, answer not found!"
512,Who are the employer of Don R. Berlin?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Don_R._Berlin> <http://dbpedia.org/ontology/employer> ?uri } ,"['http://dbpedia.org/resource/McDonnell_Aircraft', 'http://dbpedia.org/resource/Boeing', 'http://dbpedia.org/resource/Fisher_Body', 'http://dbpedia.org/resource/Northrop_Corporation', 'http://dbpedia.org/resource/General_Motors_Corporation', 'http://dbpedia.org/resource/Douglas_Aircraft_Company', 'http://dbpedia.org/resource/Curtiss-Wright', 'http://dbpedia.org/resource/Vertol_Aircraft', 'http://dbpedia.org/resource/Piasecki_Helicopter']",Berlin,Universal Music Group
519,Who is the writer of He's a Pirate ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/He's_a_Pirate> <http://dbpedia.org/property/writer> ?uri } ,"['http://dbpedia.org/resource/Hans_Zimmer', 'Klaus Badelt', 'Geoffrey Zanelli']",NotFound,"Sorry, answer not found!"
523,What is the ideology of Palang Dharma Party ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Palang_Dharma_Party> <http://dbpedia.org/ontology/ideology> ?uri } ,"['http://dbpedia.org/resource/Buddhism', 'http://dbpedia.org/resource/Political_corruption']",Palang Dharma Party,pragmatist
532,Where did Louis chevrolet die ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Louis_Chevrolet> <http://dbpedia.org/property/deathPlace> ?uri } ,"['Detroit, Michigan, U.S.']",Louis chevrolet,"Sorry, answer not found!"
534,What is the affiliation of Lumbini Bauddha University ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lumbini_Bauddha_University> <http://dbpedia.org/property/affiliation> ?uri } ,['http://dbpedia.org/resource/Buddhism'],Lumbini Bauddha University,"Sorry, answer not found!"
578,What is the area of Tar Heel Sports Network ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tar_Heel_Sports_Network> <http://dbpedia.org/property/area> ?uri } ,[],Tar Heel Sports Network,"Sorry, answer not found!"
589,To which county of New York city does the Tremount Avenue street belong?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tremont_Avenue> <http://dbpedia.org/property/counties> ?uri } ,[],city,Massachusetts
591,To which region does the Miluk language belong?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Miluk_language> <http://dbpedia.org/property/region> ?uri } ,['http://dbpedia.org/resource/Oregon'],Miluk language,"Pacific, Asia and the Americas"
592,What is the Ceremonial County of Port of Tilbury ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Port_of_Tilbury> <http://dbpedia.org/ontology/ceremonialCounty> ?uri } ,['http://dbpedia.org/resource/Essex'],Tilbury,East and West Tilbury
594,Name the part of Liverpool city region >, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Liverpool_City_Region> <http://dbpedia.org/ontology/part> ?uri } ,[],Liverpool city region,"Sorry, answer not found!"
596,Who created the world series of Poker?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/World_Series_of_Poker> <http://dbpedia.org/property/founded> ?uri } ,"['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/Las_Vegas', 'http://dbpedia.org/resource/Nevada']",NotFound,"Sorry, answer not found!"
598,What is the game platform of Google Cloud Connect ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Google_Cloud_Connect> <http://dbpedia.org/ontology/computingPlatform> ?uri } ,"['http://dbpedia.org/resource/Office_2007', 'http://dbpedia.org/resource/Office_2010', 'http://dbpedia.org/resource/Microsoft_Office']",Google Cloud Connect,"Cloud computing security
Cloud"
603,Name the river mouth of Moordener Kill ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Moordener_Kill> <http://dbpedia.org/ontology/riverMouth> ?uri } ,['http://dbpedia.org/resource/Hudson_River'],Moordener Kill,"New York
Kieft's War"
616,Name the home town of Rolando Gomez ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rolando_Gomez> <http://dbpedia.org/property/homeTown> ?uri } ,['http://dbpedia.org/resource/San_Antonio'],Rolando Gomez,Buffalo
633,Name the commander of Battle of the Thames ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Battle_of_the_Thames> <http://dbpedia.org/ontology/commander> ?uri } ,"['http://dbpedia.org/resource/Roundhead_(Wyandot)', 'http://dbpedia.org/resource/Henry_Procter_(British_Army_officer)', 'http://dbpedia.org/resource/Tecumseh', 'http://dbpedia.org/resource/William_Henry_Harrison']",Thames,John Burns
634,Name the sports played by Fr. Agnel Multipurpose School and Junior College?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fr._Agnel_Multipurpose_School_and_Junior_College> <http://dbpedia.org/ontology/sport> ?uri } ,"['http://dbpedia.org/resource/Throwball', 'http://dbpedia.org/resource/Hockey', 'http://dbpedia.org/resource/Chess', 'http://dbpedia.org/resource/Association_football']",Fr,"racing class
Formula Regional"
638,What is the alma mater of Julian Leow Beng Kim?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Julian_Leow_Beng_Kim> <http://dbpedia.org/property/almaMater> ?uri } ,"['http://dbpedia.org/resource/University_of_New_South_Wales', ""http://dbpedia.org/resource/St._Paul's_Institution"", 'http://dbpedia.org/resource/Seremban', 'http://dbpedia.org/resource/College_General', 'http://dbpedia.org/resource/Penang', 'http://dbpedia.org/resource/Sydney', '', 'Pontifical Gregorian University, Rome']",Julian,New York politician
648,Name the serving line of Daund Junction railway station?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Daund_Junction_railway_station> <http://dbpedia.org/ontology/servingRailwayLine> ?uri } ,"['http://dbpedia.org/resource/Bhusawal-Kalyan_section', 'http://dbpedia.org/resource/Mumbai-Chennai_line', 'http://dbpedia.org/resource/Mumbai_Dadar-Solapur_section']",Daund Junction railway station,Daund–Manmad line
668,What is the source location of Thornton Creek ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Thornton_Creek> <http://dbpedia.org/property/sourceLocation> ?uri } ,[],Thornton Creek,Meadowbrook Pond
673,Name the home town of Cline Buckens ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Céline_Buckens> <http://dbpedia.org/ontology/hometown> ?uri } ,[],Cline Buckens,"Sorry, answer not found!"
675,Which university provides license for WRVU ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WRVU> <http://dbpedia.org/property/licensee> ?uri } ,[],WRVU,VU
684,What is the location of Dad's Root Beer on Google maps?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dad's_Root_Beer> <http://dbpedia.org/property/locationCity> ?uri } ,"['http://dbpedia.org/resource/Indiana', 'http://dbpedia.org/resource/Jasper,_Indiana']",Google,Chinese
686,What is the district of Fort Heath radar station ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fort_Heath_radar_station> <http://dbpedia.org/property/district> ?uri } ,[],Fort Heath radar station,Boston area
691,Who is the founder of Oprah Winfrey Network (U.S. TV channel) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Oprah_Winfrey_Network_(U.S._TV_channel)> <http://dbpedia.org/property/founder> ?uri } ,[],Oprah Winfrey,Andrew Weil
